District,TotHh,TotHhPop,GroupPop,HhPerCapInc
13013180103,1733,4793,0,23389.05
13013180104,753,2158,0,24431.74
13013180105,1019,3045,0,20725.32
13013180106,1276,3704,0,22098.25
13013180107,1492,4296,0,19805.13
13013180108,1167,3184,0,25444.75
13013180203,1500,4019,0,18230.29
13013180204,1040,2488,0,17360.75
13013180205,1746,4360,0,19283.29
13013180206,1196,2759,0,23304.26
13013180301,791,2044,0,21870.32
13013180302,2060,5487,0,23236.89
13013180303,1596,4423,0,22911.21
13013180401,1960,5179,0,20854.85
13013180402,2499,6500,0,19638.4
13013180501,1958,5709,0,26306.36
13013180502,1864,5028,0,22544.11
13013180503,1782,5312,0,20834.01
13015960101,849,2211,0,21128.73
13015960102,3867,10812,0,24550.28
13015960200,4856,12675,0,20386.72
13015960300,2757,7465,0,21303.32
13015960401,3573,9009,0,18404.22
13015960402,3262,8865,0,25142.33
13015960500,3014,7745,0,22058.71
13015960600,3840,9580,0,22752.41
13015960700,2966,7230,0,18618.7
13015960801,1411,3800,0,24179.29
13015960802,1274,3447,0,22801.39
13015960803,2085,5622,0,20383.11
13015960901,1175,3255,0,21621.43
13015960902,2515,7297,0,23480.03
13015961000,3465,10056,0,21926.95
13045910101,2335,6097,0,15070.11
13045910103,1846,4789,0,23528.22
13045910104,3223,8948,0,19639
13045910200,4393,12004,0,20261.16
13045910300,2435,6446,0,22047.3
13045910400,1806,4456,0,21243.81
13045910501,2552,7153,0,18734.17
13045910502,1279,3292,0,11496.69
13045910600,2256,5557,0,21419.7
13045910701,3062,8438,0,20542.69
13045910702,2969,7638,0,25426.05
13045910703,3106,8153,0,22432.24
13045910800,1783,4781,0,21119.1
13045910900,1778,4853,0,20372.64
13045911000,2512,6399,0,19667.93
13045911100,3211,7353,0,26991.21
13045911200,2588,6385,0,19157.78
13057090100,3621,9698,0,24010.64
13057090200,3349,8516,0,25450.2
13057090300,4661,12663,0,28258.07
13057090400,3927,9760,0,18594.04
13057090501,2324,6086,0,23537.65
13057090502,4917,13238,0,30685.26
13057090601,2536,6930,0,20268.94
13057090602,3524,9572,0,23551.29
13057090701,7316,17882,0,36377.93
13057090702,2887,7957,0,26280.79
13057090802,2696,7557,0,34199.55
13057090803,3284,9726,0,26256.57
13057090804,3244,9471,0,32123.39
13057090901,2910,8061,0,29252.38
13057090902,5822,14944,0,32677.36
13057090904,3032,8008,0,25766.78
13057090905,1875,4395,0,30846.43
13057091001,1958,5004,0,27235.09
13057091003,2994,8881,0,25497.82
13057091005,2805,7501,0,30022.91
13057091006,1661,4951,0,38147.74
13057091007,2247,6492,0,35962.15
13057091008,3231,9116,0,42075.69
13057091101,2328,6533,0,32101.42
13057091102,3184,8986,0,25230.56
13057091103,3401,9905,0,24309.73
13063040202,1073,3121,0,16492.68
13063040203,1565,3714,0,19045.62
13063040204,1762,3912,0,14242.44
13063040302,1730,5219,0,11426.18
13063040303,2477,7283,0,12262.65
13063040306,1385,4157,0,19605.85
13063040307,1377,4180,0,18439.82
13063040308,1673,4747,0,12445.13
13063040407,1393,3672,0,16905.18
13063040408,2629,7367,0,20704.32
