District,Type,A24,A5P,MH,SFA,SFD,GQ
CT1,Metropolitan,0,432,0,0,0,0
CT1,Metropolitan,0,0,0,0,0,0
CT1,Metropolitan,0,202,0,0,0,0
CT2,Metropolitan,0,0,0,0,0,0
CT2,Metropolitan,0,0,0,0,0,0
CT2,Metropolitan,0,271,0,0,0,0
CT3,Metropolitan,0,2212,0,100,0,0
CT3,Metropolitan,0,0,0,0,0,0
CT3,Metropolitan,0,1010,0,0,0,0
CT4,Metropolitan,0,576,0,127,0,0
CT4,Metropolitan,0,486,0,0,0,0
CT4,Metropolitan,0,0,0,0,0,0
CT5,Metropolitan,0,0,0,0,0,0
CT5,Metropolitan,0,151,0,0,0,0
CT5,Metropolitan,0,300,0,0,0,0
CT6,Metropolitan,0,0,0,0,0,0
CT6,Metropolitan,0,684,0,1145,2767,0
CT6,Metropolitan,0,3967,0,0,7876,0
CT7,Metropolitan,0,761,0,0,793,0
CT7,Metropolitan,0,3948,0,199,4685,0
CT7,Metropolitan,0,17312,0,1226,8608,0
CT8,Metropolitan,0,8786,0,595,2210,0
CT8,Metropolitan,0,1769,0,0,0,0
CT8,Metropolitan,0,3046,0,0,697,0
CT9,Metropolitan,0,841,0,0,290,0
CT9,Metropolitan,0,1910,0,1060,2048,0
CT9,Metropolitan,0,1552,0,1529,941,0
CT10,Metropolitan,0,1414,0,0,432,0
CT10,Metropolitan,0,0,0,0,0,0
CT10,Metropolitan,0,1968,0,0,2945,0
CT11,Metropolitan,0,650,0,0,0,0
CT11,Metropolitan,0,1085,0,0,340,0
CT11,Metropolitan,0,1482,300,0,445,0
CT12,Metropolitan,0,1553,0,0,6736,0
CT12,Metropolitan,0,1294,0,0,4025,0
CT12,Metropolitan,0,1907,0,547,4966,0
CT13,Metropolitan,0,6119,0,0,9191,0
CT13,Metropolitan,0,493,0,515,7060,0
CT13,Metropolitan,0,6247,0,0,2874,0
CT14,Metropolitan,0,1859,0,0,1910,0
CT14,Metropolitan,0,1081,0,0,2160,0
CT14,Metropolitan,0,0,0,221,2828,0
CT15,Metropolitan,0,5981,0,791,3862,0
CT15,Metropolitan,0,1847,0,0,938,0
CT15,Metropolitan,0,4154,0,0,4147,0
CT16,Metropolitan,0,157,0,320,2185,0
CT16,Metropolitan,0,5614,0,0,6505,0
CT16,Metropolitan,0,2358,0,0,2534,0
CT17,Metropolitan,0,6324,0,566,8494,0
CT17,Metropolitan,0,332,0,388,7072,0
CT17,Metropolitan,0,2215,0,814,6361,0
CT18,Metropolitan,0,6185,0,0,7241,0
CT18,Metropolitan,0,14081,250,2016,13901,0
CT18,Metropolitan,0,4355,0,0,2825,0
CT19,Metropolitan,0,13252,0,108,7411,0
CT19,Metropolitan,0,5186,0,151,6582,0
CT19,Metropolitan,0,1369,0,204,3395,0
CT20,Metropolitan,0,1225,0,0,4649,0
CT20,Metropolitan,0,3270,0,2335,10345,0
CT20,Metropolitan,0,5194,0,329,3930,0
CT21,Metropolitan,0,221,0,0,2688,0
CT21,Metropolitan,0,0,0,0,1596,0
CT21,Metropolitan,0,0,0,0,906,0
CT22,Metropolitan,0,2134,0,457,3596,0
CT22,Metropolitan,0,895,0,1298,3626,0
CT22,Metropolitan,0,2096,0,1162,1615,0
CT23,Metropolitan,0,0,0,0,1006,0
CT23,Metropolitan,0,3594,0,240,1994,0
CT23,Metropolitan,0,2640,0,976,262,0
CT24,Metropolitan,0,4180,0,169,647,0
CT24,Metropolitan,0,0,0,0,188,0
CT24,Metropolitan,0,0,0,0,4352,0
CT25,Metropolitan,0,0,0,0,3463,0
CT25,Metropolitan,0,0,0,679,1396,0
CT25,Metropolitan,0,535,0,0,2506,0
CT26,Metropolitan,0,967,0,0,2137,0
CT26,Metropolitan,0,0,0,0,2177,0
CT26,Metropolitan,0,0,0,0,2884,0
CT27,Metropolitan,0,0,0,0,0,0
CT27,Metropolitan,0,0,0,0,0,0
CT27,Metropolitan,0,650,0,358,2114,0
CT28,Metropolitan,0,154,0,0,368,0
CT28,Metropolitan,0,1188,0,0,368,0
CT28,Metropolitan,0,1408,0,0,2695,0
CT29,Metropolitan,0,0,0,0,912,0
CT29,Metropolitan,0,0,0,751,7098,0
CT29,Metropolitan,0,0,0,0,4921,0
CT30,Metropolitan,0,1049,0,1350,2431,0
CT30,Metropolitan,0,1181,0,871,877,0
CT30,Metropolitan,0,0,0,0,4036,0
CT31,Metropolitan,0,0,0,0,862,0
CT31,Metropolitan,0,1024,0,0,906,0
CT31,Metropolitan,0,0,0,0,2964,0
CT32,Metropolitan,0,0,0,697,4096,0
CT32,Metropolitan,0,0,0,0,1878,0
CT32,Metropolitan,0,0,0,0,233,0
CT33,Metropolitan,0,679,0,0,2183,0
CT33,Metropolitan,0,0,0,346,2294,0
CT33,Metropolitan,0,0,0,0,5225,0
CT34,Metropolitan,0,0,0,0,1894,0
CT34,Metropolitan,0,841,0,0,2047,0
CT34,Metropolitan,0,620,0,0,4217,0
CT35,Metropolitan,0,0,0,169,1850,0
CT35,Metropolitan,0,0,0,0,0,0
CT35,Metropolitan,0,0,0,640,3420,0
CT36,Metropolitan,0,0,0,0,0,0
CT36,Metropolitan,0,0,0,0,2047,0
CT36,Metropolitan,0,0,0,0,0,0
CT37,Metropolitan,0,708,0,570,3984,0
CT37,Metropolitan,0,0,0,0,0,0
CT37,Metropolitan,0,1312,0,438,1027,0
CT38,Metropolitan,0,265,0,0,2528,0
CT38,Metropolitan,0,0,0,0,3761,0
CT38,Metropolitan,0,0,0,0,0,0
CT39,Metropolitan,0,0,0,0,2051,0
CT39,Metropolitan,0,439,0,0,3919,0
CT39,Metropolitan,0,0,0,0,1543,0
CT40,Metropolitan,0,0,0,0,0,0
CT40,Metropolitan,0,0,0,0,0,0
CT40,Metropolitan,0,0,0,0,2723,0
CT41,Metropolitan,0,0,0,0,0,0
CT41,Metropolitan,0,0,0,0,0,0
CT41,Metropolitan,0,0,0,0,820,0
CT42,Metropolitan,0,0,0,0,995,0
CT42,Metropolitan,0,0,0,0,0,0
CT42,Metropolitan,0,0,0,0,1294,0
CT43,Metropolitan,0,0,0,218,2477,0
CT43,Metropolitan,0,0,0,186,17036,0
CT43,Metropolitan,0,188,0,0,233,0
CT44,Metropolitan,0,0,0,0,896,0
CT44,Metropolitan,0,0,0,0,0,0
CT44,Metropolitan,0,528,0,0,3229,0
CT45,Metropolitan,0,0,0,0,2912,0
CT45,Metropolitan,0,966,0,0,0,0
CT45,Metropolitan,0,132,0,0,2234,0
CT46,Metropolitan,0,0,0,0,3078,0
CT46,Metropolitan,0,0,0,701,3242,0
CT46,Metropolitan,0,0,0,0,2573,0
CT47,Metropolitan,0,380,0,0,1644,0
CT47,Metropolitan,0,0,0,0,0,0
CT47,Metropolitan,0,1926,0,0,0,0
CT48,Metropolitan,0,1482,0,0,2173,0
CT48,Metropolitan,0,265,0,0,6343,0
CT48,Metropolitan,0,1705,0,476,6736,0
CT49,Metropolitan,0,1261,0,0,4336,0
CT49,Metropolitan,0,329,0,457,13703,0
CT49,Metropolitan,0,0,0,0,2183,0
CT50,Metropolitan,0,0,0,332,2647,0
CT50,Metropolitan,0,0,0,0,5040,0
CT50,Metropolitan,0,0,0,438,3708,0
CT51,Metropolitan,0,0,0,0,1834,0
CT51,Metropolitan,0,0,0,0,1824,0
CT51,Metropolitan,0,478,0,877,5562,0
CT52,Metropolitan,0,0,0,720,1405,0
CT52,Metropolitan,0,0,0,0,0,0
CT52,Metropolitan,0,1433,0,0,1878,0
CT53,Metropolitan,0,0,0,0,4230,0
CT53,Metropolitan,0,742,0,0,1985,0
CT53,Metropolitan,0,0,0,0,3312,0
CT54,Metropolitan,0,0,0,0,0,0
CT54,Metropolitan,0,0,0,0,521,0
CT54,Metropolitan,0,0,0,0,234,0
CT55,Metropolitan,0,0,0,0,0,0
CT55,Metropolitan,0,0,0,0,0,0
CT55,Metropolitan,0,0,0,0,0,0
CT56,Metropolitan,0,0,0,338,1254,0
CT56,Metropolitan,0,0,0,0,338,0
CT56,Metropolitan,0,3594,0,0,3904,0
CT57,Metropolitan,0,0,0,367,0,0
CT57,Metropolitan,0,0,0,0,0,0
CT57,Metropolitan,0,0,0,0,1223,0
CT58,Metropolitan,0,0,0,0,574,0
CT58,Metropolitan,0,0,0,0,1711,0
CT58,Metropolitan,0,0,0,674,434,0
CT59,Metropolitan,0,0,0,0,230,0
CT59,Metropolitan,0,0,0,0,1697,0
CT59,Metropolitan,0,0,0,0,598,0
CT60,Metropolitan,0,0,0,0,0,0
CT60,Metropolitan,0,0,0,0,0,0
CT60,Metropolitan,0,0,0,0,516,0
CT61,Metropolitan,0,0,0,0,119,0
CT61,Metropolitan,0,0,0,0,224,0
CT61,Metropolitan,0,0,0,0,631,0
CT62,Metropolitan,0,0,0,0,0,0
CT62,Metropolitan,0,0,0,240,0,0
CT62,Metropolitan,0,0,0,0,0,0
CT63,Metropolitan,0,0,0,0,564,0
CT63,Metropolitan,0,0,0,679,2628,0
CT63,Metropolitan,0,0,0,0,3114,0
CT64,Metropolitan,0,966,0,0,1885,0
CT64,Metropolitan,0,1008,0,300,1184,0
CT64,Metropolitan,0,1106,0,0,2918,0
CT65,Metropolitan,0,263,0,250,4781,0
CT65,Metropolitan,0,0,0,679,1769,0
CT65,Metropolitan,0,1361,0,0,416,0
CT66,Metropolitan,0,0,0,0,0,0
CT66,Metropolitan,0,3514,0,650,2602,0
CT66,Metropolitan,0,0,0,0,0,0
CT67,Metropolitan,0,0,0,0,1793,0
CT67,Metropolitan,0,2867,336,397,6151,0
CT67,Metropolitan,0,218,0,0,118,0
CT68,Metropolitan,0,0,0,0,624,0
CT68,Metropolitan,0,0,0,0,0,0
CT68,Metropolitan,0,0,0,205,2950,0
CT69,Metropolitan,0,0,0,0,1584,0
CT69,Metropolitan,0,0,0,0,1231,0
CT69,Metropolitan,0,3692,0,599,3738,0
CT70,Metropolitan,0,457,0,0,1106,0
CT70,Metropolitan,0,851,0,0,726,0
CT70,Metropolitan,0,1072,0,937,13937,0
CT71,Metropolitan,0,0,0,0,0,0
CT71,Metropolitan,0,995,0,0,2416,0
CT71,Metropolitan,0,0,0,0,1442,0
CT72,Metropolitan,0,1328,0,0,1012,0
CT72,Metropolitan,0,1034,0,848,7280,0
CT72,Metropolitan,0,1984,0,0,4842,0
CT73,Metropolitan,0,1164,0,0,0,0
CT73,Metropolitan,0,0,0,0,2820,0
CT73,Metropolitan,0,1392,0,0,6182,0
CT74,Metropolitan,0,0,0,0,8012,0
CT74,Metropolitan,0,2239,0,1271,12889,0
CT74,Metropolitan,0,1993,0,1068,5095,0
CT75,Metropolitan,0,2729,0,0,11100,0
CT75,Metropolitan,0,1273,0,361,2321,0
CT75,Metropolitan,0,518,0,0,5386,0
CT76,Metropolitan,0,0,0,0,4288,0
CT76,Metropolitan,0,2086,0,640,6470,0
CT76,Metropolitan,0,570,0,0,3431,0
CT77,Metropolitan,0,1133,0,148,9036,0
CT77,Metropolitan,0,0,0,0,0,0
CT77,Metropolitan,0,0,0,0,742,0
CT78,Metropolitan,0,497,0,298,922,0
CT78,Metropolitan,0,803,0,470,1740,0
CT78,Metropolitan,0,3002,0,391,7309,0
CT79,Metropolitan,0,1951,0,0,1106,0
CT79,Metropolitan,0,4764,0,0,3358,0
CT79,Metropolitan,0,6914,0,0,11370,0
CT80,Metropolitan,0,7306,0,1150,7874,0
CT80,Metropolitan,0,6451,0,490,18148,0
CT80,Metropolitan,0,1601,0,380,17987,0
CT81,Metropolitan,0,480,0,0,1837,0
CT81,Metropolitan,0,0,0,148,4222,0
CT81,Metropolitan,0,1361,0,1056,10380,0
CT82,Metropolitan,0,2256,0,0,396,0
CT82,Metropolitan,0,0,0,365,4145,0
CT82,Metropolitan,0,5360,0,794,2690,0
CT83,Metropolitan,0,3907,0,877,13177,0
CT83,Metropolitan,0,5651,0,839,5758,0
CT83,Metropolitan,0,372,0,0,8260,0
CT84,Metropolitan,0,2694,0,841,3440,0
CT84,Metropolitan,0,695,0,448,1974,0
CT84,Metropolitan,0,0,0,0,1684,0
CT85,Metropolitan,0,4111,0,148,3007,0
CT85,Metropolitan,0,3228,0,0,3143,0
CT85,Metropolitan,0,0,0,0,684,0
CT86,Metropolitan,0,1639,0,396,4999,0
CT86,Metropolitan,0,1616,0,582,835,0
CT86,Metropolitan,0,0,0,0,3938,0
CT87,Metropolitan,0,538,0,0,2652,0
CT87,Metropolitan,0,511,0,0,534,0
CT87,Metropolitan,0,1235,0,493,11911,0
CT88,Metropolitan,0,0,0,0,0,0
CT88,Metropolitan,0,5206,0,947,6685,0
CT88,Metropolitan,0,708,0,271,8692,0
CT89,Metropolitan,0,0,0,570,6142,0
